Feature ID	Taxon	Confidence
ASV163	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Chaetothyriales	0.991711693423805
ASV164	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Golovinomyces;s__Golovinomyces_sonchicola	0.9999987614703936
ASV165	k__Fungi	1.0000000000000056
ASV166	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Agaricaceae;g__Agaricus;s__Agaricus_bisporus	0.944229594559389
ASV167	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Trichosporonales;f__Trichosporonaceae;g__Vanrija;s__Vanrija_fragicola	0.9999924647581618
ASV168	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_conicus	0.9704565569995961
ASV169	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.9999964271788347
ASV170	k__Fungi	0.9999999999999926
ASV171	k__Fungi;p__unidentified;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.9402336077209323
ASV172	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Aspergillus;s__Aspergillus_carbonarius	0.9861170200035412
